阈值,样本,加仓占比%,加仓胜率%,加仓中位%,观望占比%,观望胜率%,观望中位%,减仓占比%,减仓胜率%,减仓中位%,清仓占比%,清仓胜率%,清仓中位%,加仓-清仓胜率差,加仓-清仓中位差
6/-6/-16,3070,31.3,49.5,0.0,27.7,46.6,-0.218,21.4,53.1,0.264,19.6,48.0,-0.095,1.5,0.095
6/-6/-14,3070,31.3,49.5,0.0,27.7,46.6,-0.218,17.8,53.4,0.264,23.3,48.6,-0.074,0.9,0.074
6/-6/-12,3070,31.3,49.5,0.0,27.7,46.6,-0.218,12.7,52.2,0.228,28.3,50.0,0.004,-0.5,-0.004
6/-4/-16,3070,31.3,49.5,0.0,22.6,45.4,-0.282,26.4,53.0,0.256,19.6,48.0,-0.095,1.5,0.095
6/-4/-14,3070,31.3,49.5,0.0,22.6,45.4,-0.282,22.8,53.1,0.256,23.3,48.6,-0.074,0.9,0.074
6/-4/-12,3070,31.3,49.5,0.0,22.6,45.4,-0.282,17.8,52.2,0.229,28.3,50.0,0.004,-0.5,-0.004
6/-4/-10,3070,31.3,49.5,0.0,22.6,45.4,-0.282,13.5,51.8,0.228,32.6,50.4,0.053,-1.0,-0.053
6/-2/-16,3070,31.3,49.5,0.0,17.3,43.7,-0.488,31.8,52.6,0.264,19.6,48.0,-0.095,1.5,0.095
6/-2/-14,3070,31.3,49.5,0.0,17.3,43.7,-0.488,28.1,52.7,0.264,23.3,48.6,-0.074,0.9,0.074
6/-2/-12,3070,31.3,49.5,0.0,17.3,43.7,-0.488,23.1,51.9,0.23,28.3,50.0,0.004,-0.5,-0.004
6/-2/-10,3070,31.3,49.5,0.0,17.3,43.7,-0.488,18.8,51.6,0.232,32.6,50.4,0.053,-1.0,-0.053
6/-2/-8,3070,31.3,49.5,0.0,17.3,43.7,-0.488,15.1,50.9,0.162,36.3,50.9,0.149,-1.4,-0.149
6/0/-16,3070,31.3,49.5,0.0,13.0,44.9,-0.409,36.1,51.1,0.149,19.6,48.0,-0.095,1.5,0.095
6/0/-14,3070,31.3,49.5,0.0,13.0,44.9,-0.409,32.4,51.1,0.147,23.3,48.6,-0.074,0.9,0.074
6/0/-12,3070,31.3,49.5,0.0,13.0,44.9,-0.409,27.4,50.1,0.063,28.3,50.0,0.004,-0.5,-0.004
6/0/-10,3070,31.3,49.5,0.0,13.0,44.9,-0.409,23.1,49.4,-0.011,32.6,50.4,0.053,-1.0,-0.053
6/0/-8,3070,31.3,49.5,0.0,13.0,44.9,-0.409,19.4,48.5,-0.133,36.3,50.9,0.149,-1.4,-0.149
8/-6/-16,3070,25.6,49.6,0.0,33.4,47.1,-0.217,21.4,53.1,0.264,19.6,48.0,-0.095,1.5,0.095
8/-6/-14,3070,25.6,49.6,0.0,33.4,47.1,-0.217,17.8,53.4,0.264,23.3,48.6,-0.074,1.0,0.074
8/-6/-12,3070,25.6,49.6,0.0,33.4,47.1,-0.217,12.7,52.2,0.228,28.3,50.0,0.004,-0.4,-0.004
8/-4/-16,3070,25.6,49.6,0.0,28.4,46.2,-0.273,26.4,53.0,0.256,19.6,48.0,-0.095,1.5,0.095
8/-4/-14,3070,25.6,49.6,0.0,28.4,46.2,-0.273,22.8,53.1,0.256,23.3,48.6,-0.074,1.0,0.074
8/-4/-12,3070,25.6,49.6,0.0,28.4,46.2,-0.273,17.8,52.2,0.229,28.3,50.0,0.004,-0.4,-0.004
8/-4/-10,3070,25.6,49.6,0.0,28.4,46.2,-0.273,13.5,51.8,0.228,32.6,50.4,0.053,-0.9,-0.053
8/-2/-16,3070,25.6,49.6,0.0,23.1,45.1,-0.451,31.8,52.6,0.264,19.6,48.0,-0.095,1.5,0.095
8/-2/-14,3070,25.6,49.6,0.0,23.1,45.1,-0.451,28.1,52.7,0.264,23.3,48.6,-0.074,1.0,0.074
8/-2/-12,3070,25.6,49.6,0.0,23.1,45.1,-0.451,23.1,51.9,0.23,28.3,50.0,0.004,-0.4,-0.004
8/-2/-10,3070,25.6,49.6,0.0,23.1,45.1,-0.451,18.8,51.6,0.232,32.6,50.4,0.053,-0.9,-0.053
8/-2/-8,3070,25.6,49.6,0.0,23.1,45.1,-0.451,15.1,50.9,0.162,36.3,50.9,0.149,-1.3,-0.149
8/0/-16,3070,25.6,49.6,0.0,18.8,46.2,-0.343,36.1,51.1,0.149,19.6,48.0,-0.095,1.5,0.095
8/0/-14,3070,25.6,49.6,0.0,18.8,46.2,-0.343,32.4,51.1,0.147,23.3,48.6,-0.074,1.0,0.074
