因子,key,样本,取值数,IC,IC非重叠,高分位5日%,低分位5日%,多空差%,胜率高,胜率低,t,判定
站上均线条数 (above-2)×8,F_above,7050,5,0.016,-0.0024,0.479,0.071,0.408,49.4,46.9,2.48,边际有效
均线排列 ±8/±18,F_arrange,7050,5,-0.0252,-0.0315,0.393,0.407,-0.014,48.2,49.5,-0.07,弱/噪音
四均线斜率 ±14,F_slope,7050,17,-0.0182,-0.035,0.345,0.449,-0.104,48.6,50.7,-0.55,弱/噪音
20日涨跌 ±6,F_chg20,7050,2,-0.0415,-0.061,0.268,0.506,-0.239,47.3,52.0,-2.12,有效
支撑压力突破/跌破 +8/-12,F_sr,7050,3,-0.011,-0.0047,0.386,0.389,-0.003,49.7,49.8,-0.04,弱/噪音
MA20乖离修正 ±4,F_dev,7050,3,0.0657,0.1012,0.41,0.317,0.094,50.1,49.2,1.19,弱/噪音
盘口信号 clamp ±8,F_intraday,7050,15,0.0122,0.0219,0.565,0.136,0.43,50.9,47.5,2.87,边际有效
基本面 ±8,F_fund,7050,5,0.017,0.013,0.472,0.409,0.062,50.6,49.4,0.49,弱/噪音
盘口·位置×涨跌,S_pos,7050,4,0.0132,0.0323,0.474,0.25,0.224,51.4,48.4,1.39,弱/噪音
盘口·量比,S_vr,7050,5,-0.0057,-0.0327,0.385,0.378,0.006,49.6,49.7,0.08,噪音
盘口·振幅,S_amp,7050,2,0.0266,0.0205,0.396,0.386,0.009,49.7,49.6,0.12,弱/噪音
盘口·换手,S_turn,7050,4,-0.0032,-0.0043,0.594,0.3,0.293,49.0,49.9,1.92,方向矛盾
